Season,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,W_H,D_H,L_H,GF_H,GA_H,GD_H,W_A,D_A,L_A,GF_A,GA_A,GD_A
2012,6,5,3.0,0.0,H,1.56,4.24,6.88,1.6,4.24,6.88,1.55,3.77,5.85,3,0,3,14,13,1,1,4,2,6,7,-1
2012,22,14,2.0,1.0,H,1.84,3.69,4.88,1.84,3.69,5.25,1.75,3.48,4.55,3,3,1,10,6,4,4,2,1,10,6,4
2012,2,26,0.0,1.0,A,1.66,4.26,5.44,1.8,4.26,5.67,1.65,3.78,4.86,0,2,5,4,14,-10,2,1,4,8,15,-7
2012,16,35,1.0,1.0,D,2.43,3.36,3.22,2.48,3.41,3.31,2.31,3.2,2.99,1,4,2,7,9,-2,5,1,1,14,10,4
2012,18,17,1.0,0.0,H,2.04,3.67,3.85,2.09,3.67,4.0,1.96,3.35,3.67,4,3,0,14,5,9,3,3,1,13,11,2
2012,32,21,4.0,2.0,H,2.0,3.62,4.13,2.02,3.74,4.34,1.87,3.38,3.99,0,5,2,3,5,-2,4,0,3,7,4,3
2012,33,12,3.0,1.0,H,1.53,4.58,6.76,1.56,4.58,7.75,1.46,4.07,6.85,4,0,3,8,8,0,2,1,4,12,13,-1
2012,3,30,2.0,0.0,H,1.43,5.09,7.9,1.47,5.09,8.5,1.39,4.4,7.52,5,1,1,10,3,7,2,2,3,5,8,-3
2012,29,27,1.0,0.0,H,2.27,3.33,3.56,2.29,3.35,3.75,2.12,3.22,3.36,2,3,2,8,8,0,1,2,4,7,9,-2
2012,34,11,1.0,1.0,D,2.41,3.48,3.14,2.5,3.48,3.4,2.22,3.22,3.11,2,2,3,7,9,-2,1,1,4,3,7,-4
2012,11,6,1.0,3.0,A,2.06,3.54,3.93,2.06,3.54,4.33,1.89,3.32,3.94,1,2,4,4,8,-4,4,0,3,17,13,4
2012,11,26,2.0,1.0,H,1.41,4.9,9.3,1.45,4.9,9.3,1.41,4.31,7.41,1,2,5,5,11,-6,3,1,4,9,15,-6
2012,16,3,3.0,4.0,A,2.74,3.38,2.78,2.74,3.7,3.0,2.47,3.24,2.7,1,5,2,8,10,-2,6,1,1,12,3,9
2012,29,12,4.0,1.0,H,2.68,3.34,2.88,2.68,3.75,3.5,2.32,3.21,2.98,3,3,2,9,8,1,2,1,5,13,16,-3
2012,5,17,1.0,2.0,A,2.27,3.5,3.4,2.36,3.6,3.4,2.25,3.26,3.02,1,4,3,6,10,-4,3,3,2,13,12,1
2012,6,18,1.0,1.0,D,2.6,3.48,2.86,2.88,3.6,2.86,2.57,3.24,2.61,5,0,3,20,14,6,5,3,0,15,5,10
2012,14,21,1.0,3.0,A,1.98,3.62,4.19,2.0,3.8,4.33,1.93,3.38,3.75,4,2,2,11,8,3,4,0,4,9,8,1
2012,22,32,0.0,0.0,D,2.04,3.51,4.08,2.04,3.7,4.33,1.9,3.34,3.91,4,3,1,12,7,5,1,5,2,7,7,0
2012,27,33,1.0,1.0,D,2.7,3.2,2.97,2.75,3.5,2.97,2.6,3.16,2.64,1,2,5,7,10,-3,5,0,3,11,9,2
2012,34,30,2.0,1.0,H,2.23,3.45,3.56,2.25,3.7,3.8,2.06,3.32,3.43,2,3,3,8,10,-2,2,2,4,5,10,-5
